CreditScore,Credit_Age_ratio,Gender,Age,Tenure,Tenure_Age_ratio,Balance,Bal_is_zero,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Balance_Salary_ratio,France,Germany,Spain,Exited
490,15.806451612903226,0,31,3,0.0967741935483871,145260.23,0,1,0,1,114066.77,1.273466672195592,0.0,0.0,1.0,0
804,24.363636363636363,0,33,7,0.21212121212121213,76548.6,0,1,0,1,98453.45,0.7775105900301108,0.0,0.0,1.0,0
850,23.61111111111111,0,36,7,0.19444444444444445,0.0,1,1,1,1,40812.9,0.0,1.0,0.0,0.0,0
582,14.195121951219512,0,41,6,0.14634146341463414,70349.48,0,2,0,1,178074.04,0.3950574716000153,0.0,1.0,0.0,0
472,11.8,0,40,4,0.1,0.0,1,1,1,0,70154.22,0.0,0.0,0.0,1.0,0
465,9.117647058823529,1,51,8,0.1568627450980392,122522.32,0,1,0,0,181297.65,0.675807546319547,1.0,0.0,0.0,1
556,9.114754098360656,1,61,2,0.03278688524590164,117419.35,0,1,1,1,94153.83,1.2471011535059169,1.0,0.0,0.0,0
834,17.020408163265305,1,49,2,0.04081632653061224,131394.56,0,1,0,0,194365.76,0.6760170104034784,1.0,0.0,0.0,1
660,10.819672131147541,1,61,5,0.08196721311475409,155931.11,0,1,1,1,158338.39,0.9847966118639957,0.0,0.0,1.0,0
776,24.25,1,32,4,0.125,109421.13,0,2,1,1,126517.46,0.8648697974176844,0.0,1.0,0.0,0
829,30.703703703703702,1,27,9,0.3333333333333333,112045.67,0,1,1,1,119708.21,0.9359898539958119,0.0,1.0,0.0,1
637,16.333333333333332,1,39,9,0.23076923076923078,137843.8,0,1,1,1,117622.8,1.1719139486562127,0.0,1.0,0.0,1
550,14.473684210526315,0,38,2,0.05263157894736842,103391.38,0,1,0,1,90878.13,1.1376926439837616,0.0,1.0,0.0,0
776,20.972972972972972,1,37,2,0.05405405405405406,103769.22,0,2,1,0,194099.12,0.5346197344944171,0.0,1.0,0.0,0
698,15.863636363636363,0,44,10,0.22727272727272727,116363.37,0,2,1,0,198059.16,0.5875182445487499,0.0,1.0,0.0,0
585,16.25,0,36,5,0.1388888888888889,146050.97,0,2,0,0,86424.57,1.6899241731836212,0.0,1.0,0.0,0
788,23.87878787878788,1,33,5,0.15151515151515152,0.0,1,2,0,0,116978.19,0.0,1.0,0.0,0.0,0
655,15.975609756097562,0,41,8,0.1951219512195122,125561.97,0,1,0,0,164040.94,0.7654306906556375,0.0,1.0,0.0,1
601,14.30952380952381,0,42,1,0.023809523809523808,98495.72,0,1,1,0,40014.76,2.4614847121412198,0.0,1.0,0.0,1
619,14.395348837209303,0,43,1,0.023255813953488372,125211.92,0,1,1,1,113410.49,1.1040594216637278,1.0,0.0,0.0,0
656,14.577777777777778,0,45,5,0.1111111111111111,127864.4,0,1,1,0,87107.57,1.4678907929586371,1.0,0.0,0.0,0
725,38.1578947368421,0,19,0,0.0,75888.2,0,1,0,0,45613.75,1.6637132443616234,0.0,1.0,0.0,0
511,7.742424242424242,1,66,4,0.06060606060606061,0.0,1,1,1,0,1643.11,0.0,0.0,0.0,1.0,1
614,12.03921568627451,0,51,4,0.0784313725490196,40685.92,0,1,1,1,46775.28,0.8698167066022907,1.0,0.0,0.0,0
742,21.2,0,35,5,0.14285714285714285,136857.0,0,1,0,0,84509.57,1.619426060267494,0.0,1.0,0.0,0
687,25.444444444444443,1,27,9,0.3333333333333333,152328.88,0,2,0,0,126494.82,1.2042301811252034,0.0,1.0,0.0,0
555,16.818181818181817,0,33,1,0.030303030303030304,56084.69,0,2,0,0,178798.13,0.3136760434798731,0.0,0.0,1.0,0
684,12.214285714285714,0,56,8,0.14285714285714285,78707.16,0,1,1,1,99398.36,0.7918355997020474,0.0,0.0,1.0,0
603,23.192307692307693,0,26,4,0.15384615384615385,109166.37,0,1,1,1,92840.67,1.17584642592519,0.0,1.0,0.0,0
751,20.86111111111111,1,36,6,0.16666666666666666,169831.46,0,2,1,1,27758.36,6.1182094331221295,0.0,1.0,0.0,0
581,17.08823529411765,1,34,1,0.029411764705882353,101633.04,0,1,1,0,110431.51,0.9203264539260578,0.0,1.0,0.0,0
735,17.093023255813954,0,43,10,0.23255813953488372,123180.01,0,2,1,1,196673.28,0.6263179726295305,0.0,1.0,0.0,0
661,18.885714285714286,1,35,5,0.14285714285714285,150725.53,0,2,0,1,113656.85,1.3261455864736704,0.0,1.0,0.0,0
675,32.142857142857146,1,21,8,0.38095238095238093,98373.26,0,1,1,0,18203.0,5.404233368126133,1.0,0.0,0.0,0
738,12.724137931034482,0,58,2,0.034482758620689655,133745.44,0,4,1,0,28373.86,4.713685060827113,0.0,1.0,0.0,1
813,28.03448275862069,0,29,6,0.20689655172413793,0.0,1,1,1,0,33953.87,0.0,1.0,0.0,0.0,0
657,17.756756756756758,1,37,0,0.0,163607.18,0,1,0,1,44203.55,3.701222639358151,0.0,0.0,1.0,0
604,24.16,1,25,5,0.2,157780.84,0,2,1,1,58426.81,2.7004869853411475,0.0,1.0,0.0,0
519,14.416666666666666,0,36,9,0.25,0.0,1,2,0,1,145562.4,0.0,1.0,0.0,0.0,0
735,35.0,1,21,1,0.047619047619047616,178718.19,0,2,1,0,22388.0,7.982767107378953,1.0,0.0,0.0,0
664,12.072727272727272,0,55,8,0.14545454545454545,0.0,1,2,1,1,139161.64,0.0,1.0,0.0,0.0,0
678,21.1875,1,32,9,0.28125,0.0,1,1,1,1,148210.64,0.0,1.0,0.0,0.0,0
757,22.939393939393938,0,33,5,0.15151515151515152,77253.22,0,1,0,1,194239.63,0.39772120653236415,0.0,0.0,1.0,0
416,10.146341463414634,1,41,10,0.24390243902439024,122189.66,0,2,1,0,98301.61,1.2430077187952466,0.0,1.0,0.0,0
665,19.558823529411764,1,34,1,0.029411764705882353,96645.54,0,2,0,0,171413.66,0.5638146924813343,1.0,0.0,0.0,0
777,24.28125,1,32,2,0.0625,0.0,1,1,1,0,136458.19,0.0,1.0,0.0,0.0,1
543,15.083333333333334,1,36,3,0.08333333333333333,0.0,1,2,0,0,26019.59,0.0,1.0,0.0,0.0,0
506,14.882352941176471,1,34,4,0.11764705882352941,90307.62,0,1,1,1,159235.29,0.5671332026964625,1.0,0.0,0.0,0
493,10.717391304347826,1,46,4,0.08695652173913043,0.0,1,2,1,0,1907.66,0.0,1.0,0.0,0.0,0
652,8.693333333333333,1,75,10,0.13333333333333333,0.0,1,2,1,1,114675.75,0.0,0.0,0.0,1.0,0
750,34.09090909090909,0,22,3,0.13636363636363635,121681.82,0,1,1,0,128643.35,0.945885037975146,0.0,0.0,1.0,1
729,24.3,0,30,9,0.3,0.0,1,2,1,0,151869.35,0.0,1.0,0.0,0.0,0
646,14.043478260869565,1,46,4,0.08695652173913043,0.0,1,3,1,0,93251.42,0.0,1.0,0.0,0.0,1
635,22.678571428571427,1,28,3,0.10714285714285714,81623.67,0,2,1,1,156791.36,0.520587805348458,0.0,1.0,0.0,0
647,14.704545454545455,1,44,5,0.11363636363636363,0.0,1,3,1,1,174205.22,0.0,0.0,0.0,1.0,1
808,17.955555555555556,0,45,7,0.15555555555555556,118626.55,0,2,1,0,147132.46,0.8062568246327154,1.0,0.0,0.0,0
524,14.555555555555555,1,36,10,0.2777777777777778,0.0,1,2,1,0,109614.57,0.0,1.0,0.0,0.0,0
769,26.517241379310345,0,29,8,0.27586206896551724,0.0,1,2,1,1,172290.61,0.0,1.0,0.0,0.0,0
730,17.38095238095238,0,42,4,0.09523809523809523,0.0,1,2,0,1,85982.47,0.0,0.0,0.0,1.0,0
515,14.714285714285714,0,35,10,0.2857142857142857,176273.95,0,1,0,1,121277.78,1.453472763106317,0.0,0.0,1.0,0
773,18.853658536585368,0,41,9,0.21951219512195122,102827.44,0,1,0,1,64595.25,1.5918730866433677,0.0,0.0,1.0,0
814,28.06896551724138,0,29,8,0.27586206896551724,97086.4,0,2,1,1,197276.13,0.4921345527205952,0.0,1.0,0.0,0
710,32.27272727272727,0,22,8,0.36363636363636365,0.0,1,2,0,0,99645.04,0.0,0.0,0.0,1.0,0
413,12.147058823529411,0,34,9,0.2647058823529412,0.0,1,2,0,0,6534.18,0.0,1.0,0.0,0.0,0
665,16.625,1,40,6,0.15,0.0,1,1,1,1,161848.03,0.0,1.0,0.0,0.0,0
623,14.159090909090908,1,44,6,0.13636363636363635,0.0,1,2,0,0,167162.43,0.0,1.0,0.0,0.0,0
738,23.806451612903224,0,31,9,0.2903225806451613,82674.15,0,1,1,0,41970.72,1.9698053786068,1.0,0.0,0.0,0
528,14.666666666666666,0,36,7,0.19444444444444445,0.0,1,2,1,0,60536.56,0.0,0.0,0.0,1.0,0
670,10.307692307692308,1,65,1,0.015384615384615385,0.0,1,1,1,1,177655.68,0.0,0.0,0.0,1.0,1
622,13.521739130434783,1,46,4,0.08695652173913043,107073.27,0,2,1,1,30984.59,3.4556942660851733,0.0,0.0,1.0,1
582,18.1875,0,32,1,0.03125,88938.62,0,1,1,1,10054.53,8.845626797075546,0.0,1.0,0.0,0
785,21.805555555555557,1,36,2,0.05555555555555555,99806.85,0,1,0,1,36976.52,2.699195327196827,0.0,1.0,0.0,0
605,18.333333333333332,0,33,5,0.15151515151515152,150092.8,0,1,0,0,71862.79,2.0886024603275213,0.0,0.0,1.0,0
479,13.685714285714285,0,35,9,0.2571428571428571,92833.89,0,1,1,0,99449.86,0.933474315599841,0.0,1.0,0.0,1
685,22.833333333333332,0,30,3,0.1,90536.81,0,1,0,1,63082.88,1.435204131453732,0.0,1.0,0.0,0
538,13.794871794871796,0,39,7,0.1794871794871795,108055.1,0,2,1,0,27231.26,3.968053626604131,0.0,1.0,0.0,0
562,13.380952380952381,0,42,2,0.047619047619047616,100238.35,0,1,0,0,86797.41,1.154854159818824,1.0,0.0,0.0,0
675,18.75,0,36,9,0.25,106190.55,0,1,0,1,22994.32,4.618120909859479,0.0,0.0,1.0,0
721,25.75,0,28,9,0.32142857142857145,154475.54,0,2,0,1,101300.94,1.524917142920885,0.0,1.0,0.0,1
628,20.933333333333334,1,30,9,0.3,132351.29,0,2,1,1,74169.13,1.7844525073976194,0.0,1.0,0.0,0
668,18.054054054054053,1,37,6,0.16216216216216217,167864.4,0,1,1,0,115638.29,1.4516333646926118,0.0,1.0,0.0,0
506,12.341463414634147,1,41,1,0.024390243902439025,0.0,1,2,1,0,31766.3,0.0,1.0,0.0,0.0,0
524,16.903225806451612,1,31,8,0.25806451612903225,107818.63,0,1,1,0,199725.39,0.5398343695811534,0.0,1.0,0.0,1
699,20.558823529411764,0,34,4,0.11764705882352941,185173.81,0,2,1,0,120834.48,1.5324583678433508,0.0,1.0,0.0,0
828,24.352941176470587,0,34,8,0.23529411764705882,129433.34,0,2,0,0,38131.77,3.394370101361673,1.0,0.0,0.0,0
674,17.28205128205128,0,39,6,0.15384615384615385,120193.42,0,1,0,0,100130.95,1.2003623255347122,0.0,0.0,1.0,0
656,16.82051282051282,1,39,6,0.15384615384615385,0.0,1,2,1,0,141069.88,0.0,1.0,0.0,0.0,0
684,14.25,1,48,10,0.20833333333333334,126384.42,0,1,1,1,198129.36,0.6378883977619471,0.0,1.0,0.0,0
625,22.321428571428573,1,28,3,0.10714285714285714,0.0,1,1,0,0,183646.41,0.0,1.0,0.0,0.0,0
432,10.285714285714286,0,42,9,0.21428571428571427,152603.45,0,1,1,0,110265.24,1.3839669691010512,1.0,0.0,0.0,1
549,10.557692307692308,1,52,1,0.019230769230769232,0.0,1,1,0,1,8636.05,0.0,1.0,0.0,0.0,1
625,11.160714285714286,0,56,0,0.0,148507.24,0,1,1,0,46824.08,3.17159974098797,0.0,1.0,0.0,1
828,20.195121951219512,1,41,7,0.17073170731707318,0.0,1,2,1,0,171378.77,0.0,1.0,0.0,0.0,0
770,32.083333333333336,0,24,9,0.375,101827.07,0,1,1,0,167256.35,0.6088083950175883,1.0,0.0,0.0,0
758,22.294117647058822,1,34,3,0.08823529411764706,0.0,1,2,1,1,124226.16,0.0,1.0,0.0,0.0,0
795,24.09090909090909,1,33,9,0.2727272727272727,130862.43,0,1,1,1,114935.21,1.138575637526568,0.0,1.0,0.0,0
687,18.07894736842105,0,38,9,0.23684210526315788,122570.87,0,1,1,1,35608.88,3.442143364239482,1.0,0.0,0.0,0
686,27.44,0,25,1,0.04,0.0,1,2,0,1,16459.37,0.0,1.0,0.0,0.0,0
789,20.23076923076923,0,39,7,0.1794871794871795,124828.46,0,2,1,1,124411.08,1.003354845886717,0.0,1.0,0.0,0
589,11.78,1,50,5,0.1,144895.05,0,2,1,1,34941.23,4.146821677428069,0.0,1.0,0.0,0
461,13.558823529411764,1,34,5,0.14705882352941177,63663.93,0,1,0,1,167784.28,0.3794391822642741,0.0,1.0,0.0,0
637,15.925,0,40,2,0.05,133463.1,0,1,0,1,93165.34,1.4325402558505127,1.0,0.0,0.0,0
584,12.166666666666666,1,48,2,0.041666666666666664,213146.2,0,1,1,0,75161.25,2.835852250993697,0.0,0.0,1.0,1
579,16.542857142857144,1,35,1,0.02857142857142857,129490.36,0,2,0,1,8590.83,15.073090725808798,0.0,0.0,1.0,1
756,17.181818181818183,0,44,10,0.22727272727272727,137452.09,0,1,1,0,189543.9,0.7251728491394341,0.0,1.0,0.0,0
663,19.5,0,34,7,0.20588235294117646,0.0,1,2,1,1,180427.24,0.0,1.0,0.0,0.0,0
682,15.86046511627907,1,43,5,0.11627906976744186,125851.93,0,1,1,1,193318.33,0.6510087791468093,1.0,0.0,0.0,0
793,15.25,0,52,2,0.038461538461538464,0.0,1,1,1,0,159123.82,0.0,0.0,0.0,1.0,1
691,22.29032258064516,1,31,5,0.16129032258064516,40915.55,0,1,1,0,126213.84,0.32417641361676347,1.0,0.0,0.0,1
485,23.095238095238095,1,21,5,0.23809523809523808,113157.22,0,1,1,1,54141.5,2.090027428128146,0.0,0.0,1.0,0
635,21.896551724137932,1,29,8,0.27586206896551724,138296.94,0,2,1,0,141075.51,0.9803043774217084,0.0,0.0,1.0,0
650,17.56756756756757,0,37,5,0.13513513513513514,106967.18,0,1,0,0,24495.03,4.36689320241698,1.0,0.0,0.0,0
735,16.704545454545453,0,44,9,0.20454545454545456,120681.63,0,1,1,0,74836.34,1.612607324195705,1.0,0.0,0.0,0
416,13.0,0,32,0,0.0,0.0,1,2,0,1,878.87,0.0,1.0,0.0,0.0,0
754,23.5625,1,32,7,0.21875,0.0,1,2,1,0,89520.75,0.0,0.0,0.0,1.0,0
535,11.145833333333334,1,48,9,0.1875,0.0,1,1,1,0,149892.79,0.0,1.0,0.0,0.0,1
716,17.047619047619047,0,42,8,0.19047619047619047,0.0,1,2,1,0,180800.42,0.0,0.0,0.0,1.0,0
539,14.567567567567568,0,37,2,0.05405405405405406,127609.59,0,1,1,0,98646.22,1.293608513331783,1.0,0.0,0.0,0
614,14.279069767441861,1,43,6,0.13953488372093023,0.0,1,2,1,1,109041.53,0.0,1.0,0.0,0.0,0
706,12.385964912280702,0,57,7,0.12280701754385964,0.0,1,1,1,0,17941.16,0.0,0.0,0.0,1.0,1
758,22.96969696969697,1,33,7,0.21212121212121213,0.0,1,2,0,0,82996.47,0.0,1.0,0.0,0.0,0
586,20.928571428571427,1,28,2,0.07142857142857142,0.0,1,2,1,1,92067.35,0.0,0.0,0.0,1.0,0
646,8.849315068493151,1,73,6,0.0821917808219178,97259.25,0,1,0,1,104719.66,0.9287582675497609,1.0,0.0,0.0,0
631,19.12121212121212,1,33,4,0.12121212121212122,123246.7,0,1,0,0,112687.57,1.0937027038563347,0.0,1.0,0.0,0
717,32.59090909090909,1,22,6,0.2727272727272727,101060.25,0,1,0,1,84699.56,1.1931614520783815,0.0,0.0,1.0,0
684,22.8,0,30,2,0.06666666666666667,0.0,1,2,1,0,83473.82,0.0,1.0,0.0,0.0,0
800,16.3265306122449,1,49,7,0.14285714285714285,108007.36,0,1,0,0,47125.11,2.2919280188417597,1.0,0.0,0.0,0
721,20.02777777777778,1,36,2,0.05555555555555555,0.0,1,2,1,1,106977.8,0.0,0.0,0.0,1.0,0
683,23.551724137931036,0,29,0,0.0,133702.89,0,1,1,0,55582.54,2.405483628491969,0.0,0.0,1.0,1
660,21.29032258064516,0,31,9,0.2903225806451613,125189.75,0,2,1,1,139874.43,0.8950152647628306,0.0,1.0,0.0,0
704,29.333333333333332,1,24,7,0.2916666666666667,113034.22,0,1,1,0,162503.48,0.6955803038802615,0.0,1.0,0.0,1
615,15.0,1,41,9,0.21951219512195122,109013.23,0,1,1,0,196499.96,0.554774820310396,0.0,0.0,1.0,0
667,17.102564102564102,1,39,2,0.05128205128205128,0.0,1,2,1,0,40721.24,0.0,0.0,0.0,1.0,1
682,28.416666666666668,0,24,9,0.375,57929.81,0,2,0,0,53134.3,1.0902526240112318,0.0,1.0,0.0,0
484,16.689655172413794,1,29,4,0.13793103448275862,130114.39,0,1,1,0,164017.89,0.7932938900750399,1.0,0.0,0.0,0
628,23.25925925925926,0,27,5,0.18518518518518517,95826.49,0,2,1,0,155996.96,0.6142843424641096,0.0,1.0,0.0,0
480,10.909090909090908,0,44,10,0.22727272727272727,129608.57,0,1,1,0,5472.7,23.68274709010178,0.0,1.0,0.0,1
578,19.266666666666666,0,30,4,0.13333333333333333,169462.09,0,1,1,0,112187.11,1.5105308444080607,1.0,0.0,0.0,0
512,12.8,0,40,5,0.125,0.0,1,2,1,1,146457.83,0.0,1.0,0.0,0.0,0
484,13.82857142857143,1,35,7,0.2,133868.21,0,1,1,1,27286.1,4.9060954112167,0.0,0.0,1.0,0
510,17.0,1,30,0,0.0,0.0,1,2,1,1,130553.47,0.0,1.0,0.0,0.0,0
606,16.833333333333332,0,36,5,0.1388888888888889,190479.48,0,2,0,0,179351.89,1.0620433383779786,0.0,1.0,0.0,0
597,14.925,1,40,8,0.2,101993.12,0,1,0,1,94774.12,1.0761705832773758,0.0,0.0,1.0,0
754,13.709090909090909,1,55,3,0.05454545454545454,161608.81,0,1,1,0,8080.85,19.998986492757567,0.0,1.0,0.0,1
850,18.88888888888889,1,45,2,0.044444444444444446,122311.21,0,1,1,1,19482.5,6.2780038496086235,0.0,0.0,1.0,0
510,7.846153846153846,0,65,2,0.03076923076923077,0.0,1,2,1,1,48071.61,0.0,1.0,0.0,0.0,0
778,17.288888888888888,1,45,1,0.022222222222222223,162150.42,0,2,1,0,174531.27,0.929062282077017,0.0,1.0,0.0,0
636,15.142857142857142,0,42,2,0.047619047619047616,0.0,1,2,1,1,55470.78,0.0,1.0,0.0,0.0,0
804,16.08,1,50,4,0.08,0.0,1,1,1,1,8546.87,0.0,1.0,0.0,0.0,1
514,16.0625,0,32,8,0.25,0.0,1,2,1,0,95857.18,0.0,1.0,0.0,0.0,0
730,18.71794871794872,1,39,1,0.02564102564102564,99010.67,0,1,1,0,194945.8,0.507888192512996,1.0,0.0,0.0,0
525,14.18918918918919,1,37,0,0.0,0.0,1,1,0,1,131521.72,0.0,0.0,0.0,1.0,0
616,20.533333333333335,0,30,5,0.16666666666666666,0.0,1,2,0,1,196108.51,0.0,0.0,0.0,1.0,0
687,20.205882352941178,1,34,7,0.20588235294117646,111388.18,0,2,1,0,148564.76,0.7497617873848413,0.0,1.0,0.0,0
715,17.4390243902439,1,41,8,0.1951219512195122,56214.85,0,2,0,0,92982.61,0.6045738014882568,1.0,0.0,0.0,1
512,14.222222222222221,1,36,3,0.08333333333333333,84327.77,0,2,1,0,17675.36,4.77092234613609,1.0,0.0,0.0,0
479,11.975,0,40,1,0.025,0.0,1,2,0,0,114996.43,0.0,1.0,0.0,0.0,0
601,18.78125,0,32,8,0.25,93012.89,0,1,1,0,86957.42,1.0696371856478724,1.0,0.0,0.0,0
580,20.0,0,29,9,0.3103448275862069,61710.44,0,2,1,0,128077.8,0.48181995630780666,0.0,0.0,1.0,0
807,23.057142857142857,0,35,3,0.08571428571428572,174790.15,0,1,1,1,600.36,291.1422313278699,1.0,0.0,0.0,0
616,19.25,1,32,6,0.1875,0.0,1,2,1,1,43001.46,0.0,0.0,0.0,1.0,0
721,19.486486486486488,0,37,3,0.08108108108108109,107720.64,0,1,1,1,158591.12,0.6792350038261915,0.0,1.0,0.0,0
501,8.789473684210526,0,57,10,0.17543859649122806,0.0,1,2,1,1,47847.19,0.0,1.0,0.0,0.0,0
521,14.885714285714286,0,35,6,0.17142857142857143,96423.84,0,1,1,0,10488.44,9.19334429142942,1.0,0.0,0.0,0
850,28.333333333333332,0,30,2,0.06666666666666667,141040.01,0,1,1,1,5978.2,23.592387340671106,0.0,0.0,1.0,0
759,18.071428571428573,0,42,4,0.09523809523809523,105420.18,0,1,0,1,121409.06,0.8683057096397913,1.0,0.0,0.0,0
516,10.32,0,50,5,0.1,0.0,1,1,0,1,146145.93,0.0,0.0,0.0,1.0,1
711,18.710526315789473,1,38,2,0.05263157894736842,129022.06,0,2,1,1,14374.86,8.975535066080644,1.0,0.0,0.0,1
512,15.515151515151516,0,33,3,0.09090909090909091,176666.62,0,1,1,0,94670.77,1.8661158032199379,0.0,0.0,1.0,0
550,14.864864864864865,0,37,3,0.08108108108108109,0.0,1,1,1,1,179670.31,0.0,1.0,0.0,0.0,0
608,14.829268292682928,1,41,3,0.07317073170731707,89763.84,0,1,0,0,199304.74,0.4503848729337797,0.0,0.0,1.0,1
618,18.176470588235293,0,34,5,0.14705882352941177,134954.53,0,1,1,1,151954.39,0.8881252460030934,1.0,0.0,0.0,0
643,14.28888888888889,0,45,5,0.1111111111111111,0.0,1,1,1,0,142513.5,0.0,1.0,0.0,0.0,1
671,14.911111111111111,0,45,2,0.044444444444444446,106376.85,0,1,0,1,158264.62,0.6721454864643785,1.0,0.0,0.0,0
689,20.87878787878788,0,33,2,0.06060606060606061,161814.64,0,2,1,0,169381.9,0.9553242701847129,0.0,1.0,0.0,0
603,19.451612903225808,0,31,8,0.25806451612903225,0.0,1,2,1,1,169915.02,0.0,1.0,0.0,0.0,0
620,15.121951219512194,1,41,9,0.21951219512195122,0.0,1,2,0,0,88852.47,0.0,1.0,0.0,0.0,0
676,19.88235294117647,1,34,1,0.029411764705882353,63095.01,0,1,1,1,40645.81,1.5523127722144054,1.0,0.0,0.0,0
572,22.0,0,26,4,0.15384615384615385,118287.01,0,2,0,0,60427.3,1.9575094369597845,0.0,1.0,0.0,0
668,14.212765957446809,0,47,7,0.14893617021276595,106854.21,0,1,0,1,157959.02,0.6764679218698623,0.0,1.0,0.0,1
695,15.108695652173912,0,46,7,0.15217391304347827,49512.55,0,1,1,0,133007.34,0.37225426807272444,1.0,0.0,0.0,0
730,22.12121212121212,1,33,9,0.2727272727272727,0.0,1,2,0,0,176576.62,0.0,0.0,0.0,1.0,0
807,18.767441860465116,0,43,1,0.023255813953488372,105799.32,0,2,1,0,34888.04,3.0325383713157863,1.0,0.0,0.0,1
592,10.962962962962964,0,54,8,0.14814814814814814,0.0,1,1,1,1,28737.71,0.0,1.0,0.0,0.0,1
726,23.419354838709676,1,31,9,0.2903225806451613,114722.05,0,2,1,1,98178.57,1.1685039820808145,1.0,0.0,0.0,0
514,17.133333333333333,0,30,7,0.23333333333333334,0.0,1,1,0,1,125010.24,0.0,0.0,0.0,1.0,0
